nombre,descripcion,duracion_minutos,nivel,capacidad_maxima,estado
Require Idea,Foreign good thing pay paper political case.,153,Avanzado,36,0
Activity Several,Mrs blood price give professor name citizen like authority hand address.,132,Intermedio,16,1
Into Thousand,Yeah risk power including TV institution friend.,103,Avanzado,15,1
Start Chair,Could cold huge such wall available while pressure trip security teach.,178,Avanzado,26,0
Push Growth,Green whose enter decide establish would allow.,132,Principiante,12,1
Drug Realize,Fight small own near we industry nothing their.,105,Principiante,37,1
Identify Area,Receive back decide sit style production statement hold party read use.,82,Principiante,48,1
Everyone Reflect,Include respond moment face how rest situation either during audience first.,122,Principiante,30,0
Civil Major,Least tough month method bank skill religious road theory tax method lose.,98,Avanzado,27,0
Anything Outside,Break arm help source evening hold tough city act.,147,Principiante,22,1
Pressure Enough,Ever allow human forget reduce spend light important practice year stage.,111,Intermedio,23,1
Education According,Market break bad likely factor event fire.,54,Avanzado,45,0
Thing Member,North light sign everybody travel may left arrive miss.,44,Intermedio,28,0
Fill Teach,Entire well hundred ability subject hand pattern choice song.,143,Intermedio,39,0
Sense Inside,Lay their ever relationship sure over clearly clearly quite suddenly reveal me rather.,144,Principiante,21,1
Candidate Vote,Author off admit politics each size land material she foreign foot product.,53,Intermedio,21,0
Argue Cell,Fly exist hundred those operation machine something Republican compare debate produce like.,39,Avanzado,12,1
Send Benefit,Seem away over again bill you knowledge serious.,136,Intermedio,34,0
Dinner Baby,Thus whole Republican professional coach officer boy know attention day future off soldier.,127,Intermedio,29,0
Responsibility Building,Student Congress oil should color board still evidence center world five player resource meeting.,88,Principiante,35,0
Evening Professional,History kitchen happen receive contain take never ahead job begin cold the list.,155,Avanzado,24,0
Piece Especially,Consider town gas rather agree up serve nearly black or know part compare weight south.,118,Avanzado,32,1
Role Drop,Attorney yeah along perform sell talk effect see able.,157,Avanzado,15,1
Young Effect,Least news I when plan wish learn rock development.,118,Avanzado,43,1
Try Recognize,Cut television environment result different budget maybe table can section yes raise.,92,Avanzado,24,0
Beautiful Style,Great middle Democrat shoulder recognize opportunity of worker.,129,Intermedio,17,0
Create Program,Front author century indeed magazine impact station commercial play explain you south position ground.,42,Principiante,14,0
By Second,Issue send decide others fund herself half point set those pass around energy finish.,43,Avanzado,30,0
Evidence Level,Rather through population perhaps wide join morning keep wait increase series section guy now.,100,Intermedio,39,0
