socio_id,socio_membresia_id,tipo_pago,monto,fecha_pago,metodo_pago,numero_recibo,estado
52,67,Membresía,208.14,2025-11-20 21:47:59,Efectivo,481e0959-1086-44cf-a040-262e05a8ad7f,Pagado
10,17,Membresía,214.29,2025-11-20 21:47:59,Efectivo,c9b92672-86d2-4e72-bb62-f03eeb9ca18f,Pagado
15,36,Membresía,56.73,2025-11-20 21:47:59,Transferencia,66f7f125-e0e6-404a-b3fa-29511ca33400,Pendiente
51,34,Penalización,315.53,2025-11-20 21:47:59,Efectivo,1a129a86-d60d-45f4-a416-77a2e2c580b3,Pendiente
55,98,Membresía,327.14,2025-11-20 21:47:59,Tarjeta,04ada627-3da1-4c99-8bdd-b3cb5ec1e621,Pendiente
47,53,Otro,445.33,2025-11-20 21:47:59,Transferencia,9c3d354b-66c0-4965-9163-66acb4ba3775,Anulado
80,71,Membresía,466.65,2025-11-20 21:47:59,Cheque,0f370d56-d5c8-424d-a18b-67684dc1ea66,Anulado
42,43,Otro,376.24,2025-11-20 21:47:59,Tarjeta,99f3d180-00a4-4f9b-bec4-5b9cc62de323,Pagado
47,1,Clase Adicional,484.65,2025-11-20 21:47:59,Tarjeta,cd93fe33-b18c-4c50-916a-6e401176e180,Pendiente
36,54,Clase Adicional,474.12,2025-11-20 21:47:59,Tarjeta,03a621f5-24fa-4540-b611-eda5fd70292f,Anulado
78,68,Otro,330.51,2025-11-20 21:47:59,Cheque,37e65315-6dad-4f0d-b8be-752271d15f7a,Pagado
100,39,Penalización,422.62,2025-11-20 21:47:59,Cheque,ee1de7f9-3aa3-4c84-b837-13127bba34ed,Pagado
81,62,Clase Adicional,162.82,2025-11-20 21:47:59,Tarjeta,f19e39d8-ff31-4b9e-aff4-5ea1632d7b87,Pagado
26,41,Membresía,26.72,2025-11-20 21:47:59,Tarjeta,c7c7c2e7-7971-4fdc-b35a-4f3067220a8e,Anulado
2,46,Clase Adicional,394.12,2025-11-20 21:47:59,Cheque,86f2295d-025f-4fd4-9ca8-2753d0f6b491,Pagado
56,20,Penalización,471.04,2025-11-20 21:47:59,Transferencia,50c7a149-23e4-4f5e-97b4-cb58d4f0ea05,Pendiente
94,99,Penalización,66.69,2025-11-20 21:47:59,Transferencia,59151352-bead-4b3e-b7d5-8f6fb924d51d,Pendiente
98,53,Penalización,192.57,2025-11-20 21:47:59,Efectivo,f024d140-8de3-45ac-9f06-af72bf55c05d,Pagado
49,65,Membresía,484.16,2025-11-20 21:47:59,Cheque,5819c106-76f4-42f3-9734-2ec2e60d3bab,Pendiente
3,95,Penalización,230.43,2025-11-20 21:47:59,Transferencia,b7dc4872-7b98-41e9-9f18-8d35aadaa7b2,Pagado
27,55,Membresía,145.27,2025-11-20 21:47:59,Efectivo,eae7b63c-28bc-4597-b3e7-a69e57f4379a,Anulado
10,65,Clase Adicional,140.46,2025-11-20 21:47:59,Transferencia,5e2e636d-0940-474a-af97-5ef8f7ca8cbc,Pendiente
13,31,Clase Adicional,126.82,2025-11-20 21:47:59,Efectivo,eb72049d-10ea-49dc-8c51-c92b307d922c,Pendiente
74,15,Clase Adicional,426.36,2025-11-20 21:47:59,Transferencia,4c7c1a8d-cb7d-400c-a877-b2a472045a7d,Pendiente
31,10,Membresía,128.68,2025-11-20 21:47:59,Cheque,c9a69a36-4362-4ebf-8ed9-47e5cc2775be,Pendiente
91,89,Otro,255.68,2025-11-20 21:47:59,Transferencia,f13ec832-ecc9-4138-8894-a213df5f3e61,Pendiente
24,52,Membresía,185.21,2025-11-20 21:47:59,Cheque,2324de1f-6f75-4fcc-8326-732c9edfbfe3,Pendiente
34,12,Membresía,64.55,2025-11-20 21:47:59,Transferencia,affa3da3-1755-446b-86d7-274e50945d8a,Anulado
85,80,Membresía,301.9,2025-11-20 21:47:59,Efectivo,27baa8b1-b88f-44a7-b32b-ed159b73cd52,Pagado
9,66,Membresía,416.88,2025-11-20 21:47:59,Tarjeta,ad3ac528-2833-4bbe-ba37-e1a591c6c93d,Anulado
64,23,Penalización,254.42,2025-11-20 21:47:59,Efectivo,3e8cde75-415b-414e-933a-09100582bbf9,Anulado
17,55,Membresía,35.22,2025-11-20 21:47:59,Efectivo,0120b638-6d4c-4618-aec1-48b589c5e8bb,Anulado
47,45,Penalización,390.93,2025-11-20 21:47:59,Tarjeta,2d050dbb-3abb-405b-9717-3c27d2e43170,Anulado
34,23,Clase Adicional,58.49,2025-11-20 21:47:59,Transferencia,95323eee-caa3-4843-a22c-fbb7acf53618,Pagado
21,83,Clase Adicional,157.62,2025-11-20 21:47:59,Tarjeta,5c7fa695-9289-4c86-9697-ce6fa61b9c09,Anulado
33,15,Clase Adicional,43.93,2025-11-20 21:47:59,Cheque,bd4ab0d3-f689-4ea3-ba65-f743f33b3510,Anulado
